,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
219,CHST11,-0.0003676105887407549,-0.0007765661778270719,-0.0006227026085065994,-0.0006238272563350153,-0.0007977708085047741
220,GPHN,-1.3934257436514982e-05,-0.0012821107027331758,-0.001006835255345782,-0.001537923719484413,-0.0014577868284187008
221,HDHD5,,-0.00014964092708195757,-0.0020477010933969246,,
222,CSNK1G1,-0.00017643702893607727,0.00010335333467712156,-0.0008258772298881181,-0.0013792079466269898,-0.0013455509447734132
223,PRKCB,-0.0012836967303619037,-0.0002661191363961049,-0.0010706947180831568,-0.0006697328412782044,-0.0024369713348245427
224,OASL,-0.0008498241733412223,-0.0010746000080250045,0.0006312405436796897,-0.0010543398710143488,-0.0028418721277997556
225,RGL1,-0.00016125786558903767,0.0006021762229479321,,0.0005673541484217531,-0.0007082184756459445
226,MAP2K5,-0.0013965216668982792,-0.0016841691491631706,-0.0009425367987120313,-0.00033389585576685567,-0.001357836282800614
227,SUV39H1,,,,-0.00042654379177478434,
228,MCOLN2,-0.0014580802606868459,-0.0010595946125017686,-0.0027806010160922965,-0.0017643859263779555,
229,EPHA1,-0.0010688964363916795,,,,
230,TBC1D1,-0.0014006594533053814,0.0007524096696604667,-0.0003482577940965136,-0.0005400491435278761,-0.0016831019831016515
231,ABCA1,-0.002282121352081534,-0.002677648828942291,,-0.0015294503280345153,
232,SPEF2,-0.0022669206941559883,-0.0020389365218318346,0.0007265239020860844,-0.005341414028974926,
233,GRHPR,-0.0011408742144016232,-0.0005107066389595846,-0.0005766419590949,-0.0008789390701042215,
234,KCNQ1,-0.0011487049338048793,-0.001034197866460293,-0.0008945758432077275,-0.0011970228268186282,0.01841036791892297
235,ENOX2,,-0.0009631669971926493,0.0002570542518965501,-0.0006367986037906399,-0.0012279022028789943
236,DDX10,-0.0013846381785842434,-0.00020024503714647854,0.00023851281795183102,-1.5753747011276048e-05,0.00030832323983813123
237,HDAC8,,-0.004473499232415315,,-0.001915144835775779,
238,WDR7,-0.0001656701631202826,-0.0007520394771322395,-0.0004548639271794016,-0.0006966951866371317,-0.0010283932823733268
239,TBXAS1,-0.00198069537809485,-0.00048342462709345495,-0.001640662132622147,-0.0003404687356399032,
240,SLC39A11,-0.002534331549343122,-0.0020641706744242046,0.0001509523769129082,0.0007507800289183134,-0.004271576849835113
241,EMSY,-0.0010678604935898542,-0.0010566124994202328,-0.0014062331980027737,-0.0010309631625651768,-0.0034315887995895033
242,DOP1A,-0.00039696613559205875,0.000841973654786634,7.23141838642645e-05,-0.0014634031070693268,-0.0032815338300640536
243,EPAS1,-0.0030867008834985395,-0.000919921658694027,-0.0011497997464415162,-0.00047059585938595376,-0.0017127259364563413
244,DNAJC10,-0.00017891994867179524,-0.0009623114101167769,-0.001830011362826598,-0.0013738162465775812,
245,MED13L,-0.001013246767509279,-0.001027010054045218,-0.0022824380027677066,-0.00031843337987680093,-0.0006321508021821191
246,SIPA1L2,,-0.00020850217548780935,-0.0033216633798698308,-0.0007446769887079277,
247,TET3,-0.0004276294103166371,0.0010691393856041686,-0.00015250505079832458,-0.00039579609799384255,-0.0021131349061628037
248,PDE5A,-0.0012651878081554515,,4.506836024599156e-05,-0.0028323532544265824,
249,TSPAN3,-0.001630831669396148,-0.001431243856415047,-6.942000381677561e-05,3.6894257256878116e-05,
250,FAM228B,,,,,
251,MRPL1,-0.0005777016067187836,0.00027126650185943426,-0.0004563038768507239,-0.0003041213769747475,-0.0016591965917243214
252,SHQ1,-0.0022505015541263657,-0.0009672655056948759,-0.0021403692224224065,-0.0006738641257780171,-0.0010275114353918927
253,WAC-AS1,0.00021391207833677817,-0.00014191419301377677,-0.000492635895837916,-0.0007949519664722298,-0.0007338461517689392
254,TTC26,-0.0008613842464114396,,,-0.0006619491497115194,
255,MFF,-0.0005003732715986239,-0.001185703729549432,5.787350593479228e-05,-0.0007161768942150117,-0.001900110852143009
256,STX18-AS1,,-0.0006660156822856558,-0.001374428850797884,-0.0008053663443398154,
257,NR3C2,-7.509695779566068e-05,-0.0011367384723093123,-0.0005755897477311986,-0.00055547963274135,-0.00040950311142354777
258,LRRC23,-0.0005867249822500767,-0.0012475397264445475,-0.0004052094781601661,-0.0010051628685958684,-0.0008072710933661985
259,MAST4,-0.0008300680958605484,-0.0011251462797197452,-0.0020420467669882876,-0.0018242361292981494,0.001670614791752692
260,LRRFIP1,-0.0011001641373599904,-0.000897783335737483,-0.0007394249168882656,-0.00052383105531061,-0.001368036818544153
261,B3GLCT,-0.00019610032668447054,-0.0012793773776504664,0.0005032472113388527,-0.0006419883375152688,
262,ST7,0.00020307476116045338,-0.0010396553986454244,-0.00032960840643071233,-0.00044509062189605243,-0.004769191556866052
263,XAF1,-0.0014963408556678635,-0.0014555122915820024,,0.00010906767345583018,
264,TTI2,-0.0014653336322458955,-0.0009470399813604176,-0.0014380132470983992,-0.0008409531235706357,
265,ASPH,3.373283655230298e-05,-0.00046563955648221654,-0.000939293088736669,-0.001343660219747426,
266,HPCAL1,-0.0012580799583327643,-0.00042009928614283876,-0.0006496755307684662,-0.0009140147801755105,-0.0013353254440298598
267,DISC1,0.0006136246612317101,-0.0009392605181847979,0.0006858247620436797,-0.00022710455593870013,
268,RSRC1,-0.0016421297609852201,-0.0018157013064128563,-0.0013627523841420741,-0.0012575702876567642,-0.0032451993529559915
